internal_ean,name_pt,brand,base_cost,action_needed
INT_C9AA2E,Ancinho Leiria,AliTools,9.7800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_CB5720,Pás Dobrável CAMPING - 4 em 1 com Bolsa,AliTools,2.2100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_CC9CFB,Xizato  Lâmina Preta 18MM em Blister,AliTools,0.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_CCA46C,Sacho Viseu Nº0,AliTools,5.8900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_CCC26C,Sacho de Plantação,AliTools,7.0000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_CCE5D9,Enxada Pontas Vimeiro,AliTools,13.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_CE0B25,Enxada Pontas RedondasTurquel,AliTools,13.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_CE2CF7,Enxada de Bico Turquel,AliTools,12.0400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_CF9F40,Maceta 1kg cromada profissional com cabo em fibra de vidro,AliTools,4.4400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_D38036,Ancinho Madeira Dente de Prego,AliTools,3.7000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_D41336,Luva Nitrile Preta com nylon +grossa prof,AliTools,0.3600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_D41BAB,Funil em plástico preto,AliTools,0.9300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_D428D8,Luva mista de crute e pele branca,AliTools,0.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_D42A82,Faca de alcatifa Profissional  5 Laminas Autoload,AliTools,3.5300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_D4C2B0,Luva crute e pano com palma reforçada,AliTools,1.3300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_D563FA,Corredor Direito Inox,AliTools,15.4100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_D60AD2,Talocha 120x500 prof. de inox dentada 10x10 T/Inox - cabo de madeira,AliTools Professional,3.7000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_DA9D69,X- acto com Lâmina 9mm,AliTools,0.2900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_DAFBF9,Bicha Aço com um fecho,AliTools,1.4700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_DB3217,Colher de pedreiro - cabo de borracha,AliTools,1.3000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_DBC8D4,Sacho de Jardim,AliTools,3.9300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_DBCCF7,Pá (colher) Jardim,AliTools,3.5000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_DC0FE6,Podão Poda Horticolas,AliTools,6.2200,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_DE5EFA,Enxada Leiria,AliTools,8.7800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_DFFCD2,Enxada Nacional com Peta,AliTools,8.1900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E12A48,Colher de pedreiro  - cabo de madeira,AliTools,1.1000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E1A140,Martelo tipo americano profissional com cabo em fibra de vidro,AliTools,2.0700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E263B4,Machadinha Falca,AliTools,8.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E30C75,Alicate de corte diagonal profissional,AliTools,1.7000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E3103D,Lâminas para Xizato de 18mm,AliTools,0.5100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E36CAD,Lamina para Xizato 9mm,AliTools,0.2100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E37783,Forquilha direita pequena,AliTools,12.1500,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E386FF,Disco diamantado - especial Madeira 115mm,AliTools,3.3300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E3ACE2,Óculos de proteção transparente,FERMAN,0.6600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E3F003,"Serrote prof. cortar Ferro 12"" - 300 MM",AliTools Professional,2.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E45785,Escavadeira Tubo,AliTools,25.2600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E5223E,Disco corte madeira 230x30x24T,AliTools,2.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E589DE,Disco diamantado Ceramica 115mm,AliTools,2.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E63A8A,Óculo de proteção Prof. Transparente,FERMAN,1.4700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E6DA84,Forquilha com cabo metálico,AliTools,15.1900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E6F480,Enxada USA,AliTools,8.0000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E7F070,Escavadeira Tenaz,AliTools,24.1500,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E7FAB8,Podão para Banana,AliTools,6.2200,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E85C04,Machado N°3,AliTools,11.8500,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E88A7B,Bateria GEL 8AH para pulverizador elétrico 16L,AliTools,10.3600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_E96A11,Chave Pozidrive CRV ponta magnética,AliTools,0.4300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_EA3592,Foice Barreiro,AliTools,7.1900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_EAE58E,ÓCULOS de Proteção Pretos,FERMAN,0.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_EDC658,Martelo Calceteiro,HARDMAN,9.9300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_EEC5A0,Gancho / Forquilha Francesa 4 dentes,AliTools,16.0000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_F062F4,Ficha tripla em T com proteção,FERMAN,1.1000,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_F06D41,Gancho Cavar Leiria,AliTools,10.3700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_F0DFDD,Luva chefe pele genuína amarela,AliTools,1.1500,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_F0F8E3,Sapato de segurança pele branca,EXENA,10.3600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_F146C3,Martelo de campo profissional com cabo em fibra de vidro,HARDMAN,4.4400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_F19923,Luva em Espuma Nitrilo Preto - Respirável PROF.,AliTools Professional,0.8100,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_F38396,Rodizio Giratório industrial com travão - roda cinza,AliTools,1.4700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_F49443,Forquilha direita mini (Dente Torneado),AliTools,8.5900,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_F569D1,Viseira de proteção acrílica com ajuste,FERMAN,1.4700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_F6E26C,Martelo Calceteira,AliTools,9.9300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_F72B15,Espatula / Colher para Estucador Inox 100mm - A1704,AliTools,1.4700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_F823EC,Espatula em ABS 250 MM,AliTools,0.7300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_F943E4,Fita métrica com travão,AliTools,0.7300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_F9A0AA,Fato descartável Cat III tipo 5e6,AliTools,2.4400,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_FA2CCA,Forquilha olho redondo,AliTools,12.3700,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_FB2B07,Enxada Relvas,AliTools,10.9600,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_FD10E9,"Luva nitrile com nylon, palma e dedos cinzentos",AliTools,0.2800,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_FD346F,Ancinho de berbigão,AliTools,15.3300,VERIFICAR CSV e CRIAR VARIANTES se necessário
INT_FED1D8,Pistola Mastik Prof. Reforçada,AliTools Professional,5.3700,VERIFICAR CSV e CRIAR VARIANTES se necessário
